"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,360276,OH,READM-30-HF-HRRP,480,,1.0868,21.7770,20.0381,110,07/01/2018,06/30/2021
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,360276,OH,READM-30-COPD-HRRP,173,,0.9425,17.0841,18.1269,25,07/01/2018,06/30/2021
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,360276,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,360276,OH,READM-30-AMI-HRRP,N/A,,1.0106,18.0746,17.8855,Too Few to Report,07/01/2018,06/30/2021
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-PN-HRRP,130,,0.9216,13.7538,14.9234,12,07/01/2018,06/30/2021
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-HIP-KNEE-HRRP,N/A,,0.9291,3.6639,3.9436,Too Few to Report,07/01/2018,06/30/2021
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-HF-HRRP,152,,1.0922,21.2111,19.4212,38,07/01/2018,06/30/2021
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-COPD-HRRP,N/A,,0.9704,19.1657,19.7507,Too Few to Report,07/01/2018,06/30/2021
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DUBLIN METHODIST HOSPITAL,360348,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-HIP-KNEE-HRRP,1140,,0.7986,2.8747,3.5995,29,07/01/2018,06/30/2021
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-HIP-KNEE-HRRP,N/A,,0.8716,3.7491,4.3015,Too Few to Report,07/01/2018,06/30/2021
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
WEST CHESTER HOSPITAL,360354,OH,READM-30-PN-HRRP,387,,1.0426,17.0296,16.3337,69,07/01/2018,06/30/2021
WEST CHESTER HOSPITAL,360354,OH,READM-30-HIP-KNEE-HRRP,N/A,,0.9090,3.9949,4.3948,Too Few to Report,07/01/2018,06/30/2021
WEST CHESTER HOSPITAL,360354,OH,READM-30-HF-HRRP,370,,1.0417,20.6319,19.8062,79,07/01/2018,06/30/2021
WEST CHESTER HOSPITAL,360354,OH,READM-30-COPD-HRRP,166,,0.9838,20.6679,21.0076,33,07/01/2018,06/30/2021
WEST CHESTER HOSPITAL,360354,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
WEST CHESTER HOSPITAL,360354,OH,READM-30-AMI-HRRP,107,,1.0461,16.4127,15.6889,20,07/01/2018,06/30/2021
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-HIP-KNEE-HRRP,N/A,,0.9269,4.7939,5.1722,Too Few to Report,07/01/2018,06/30/2021
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-PN-HRRP,339,,0.9237,15.5834,16.8704,47,07/01/2018,06/30/2021
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-HIP-KNEE-HRRP,N/A,,0.8674,3.7897,4.3691,Too Few to Report,07/01/2018,06/30/2021
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-HF-HRRP,414,,1.0100,20.6165,20.4134,86,07/01/2018,06/30/2021
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-COPD-HRRP,102,,0.9850,20.7954,21.1114,20,07/01/2018,06/30/2021
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-CABG-HRRP,N/A,,1.0130,10.7831,10.6448,Too Few to Report,07/01/2018,06/30/2021
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-AMI-HRRP,99,,1.0696,13.6239,12.7375,17,07/01/2018,06/30/2021
SOIN MEDICAL CENTER,360360,OH,READM-30-PN-HRRP,251,,0.9699,17.2458,17.7814,41,07/01/2018,06/30/2021
SOIN MEDICAL CENTER,360360,OH,READM-30-HIP-KNEE-HRRP,N/A,,1.0011,5.0787,5.0731,Too Few to Report,07/01/2018,06/30/2021
SOIN MEDICAL CENTER,360360,OH,READM-30-HF-HRRP,319,,1.0491,22.8206,21.7519,76,07/01/2018,06/30/2021
SOIN MEDICAL CENTER,360360,OH,READM-30-COPD-HRRP,132,,1.0471,21.4724,20.5069,32,07/01/2018,06/30/2021
SOIN MEDICAL CENTER,360360,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SOIN MEDICAL CENTER,360360,OH,READM-30-AMI-HRRP,112,,1.1009,16.8325,15.2896,24,07/01/2018,06/30/2021
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-HIP-KNEE-HRRP,N/A,,1.1792,5.9955,5.0842,Too Few to Report,07/01/2018,06/30/2021
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-PN-HRRP,335,,0.9830,17.1007,17.3956,56,07/01/2018,06/30/2021
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-HIP-KNEE-HRRP,N/A,,1.0274,5.2684,5.1282,Too Few to Report,07/01/2018,06/30/2021
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-HF-HRRP,467,,1.0685,23.2406,21.7501,113,07/01/2018,06/30/2021
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-COPD-HRRP,140,,0.9872,20.7405,21.0087,28,07/01/2018,06/30/2021
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
AVITA ONTARIO,360365,OH,READM-30-PN-HRRP,N/A,,0.9538,17.2441,18.0796,Too Few to Report,07/01/2018,06/30/2021
AVITA ONTARIO,360365,OH,READM-30-HIP-KNEE-HRRP,N/A,,0.8147,3.4176,4.1949,Too Few to Report,07/01/2018,06/30/2021
AVITA ONTARIO,360365,OH,READM-30-HF-HRRP,N/A,,0.9837,21.7305,22.0902,Too Few to Report,07/01/2018,06/30/2021
AVITA ONTARIO,360365,OH,READM-30-COPD-HRRP,N/A,,0.9515,19.1296,20.1054,Too Few to Report,07/01/2018,06/30/2021
AVITA ONTARIO,360365,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
AVITA ONTARIO,360365,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KETTERING HEALTH TROY,360368,OH,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KETTERING HEALTH TROY,360368,OH,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KETTERING HEALTH TROY,360368,OH,READM-30-HF-HRRP,N/A,,0.9880,19.9655,20.2071,Too Few to Report,07/01/2018,06/30/2021
KETTERING HEALTH TROY,360368,OH,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KETTERING HEALTH TROY,360368,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
KETTERING HEALTH TROY,360368,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HILLCREST MEDICAL CENTER,370001,OK,READM-30-PN-HRRP,449,,1.0429,19.7713,18.9582,92,07/01/2018,06/30/2021
HILLCREST MEDICAL CENTER,370001,OK,READM-30-HIP-KNEE-HRRP,206,,1.1553,5.5706,4.8216,14,07/01/2018,06/30/2021
HILLCREST MEDICAL CENTER,370001,OK,READM-30-HF-HRRP,725,,1.0537,25.0201,23.7454,185,07/01/2018,06/30/2021
HILLCREST MEDICAL CENTER,370001,OK,READM-30-COPD-HRRP,274,,0.9713,21.2964,21.9248,56,07/01/2018,06/30/2021
HILLCREST MEDICAL CENTER,370001,OK,READM-30-CABG-HRRP,135,,1.1664,14.4315,12.3729,23,07/01/2018,06/30/2021
HILLCREST MEDICAL CENTER,370001,OK,READM-30-AMI-HRRP,274,,1.0854,17.0090,15.6710,51,07/01/2018,06/30/2021
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-PN-HRRP,117,,1.0070,15.8031,15.6929,19,07/01/2018,06/30/2021
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9912,4.3888,4.4276,Too Few to Report,07/01/2018,06/30/2021
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-HF-HRRP,N/A,,0.9372,18.0372,19.2464,Too Few to Report,07/01/2018,06/30/2021
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-COPD-HRRP,N/A,,0.9495,15.5882,16.4171,Too Few to Report,07/01/2018,06/30/2021
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-PN-HRRP,114,,1.0571,15.7431,14.8924,22,07/01/2018,06/30/2021
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-HIP-KNEE-HRRP,N/A,,1.0462,7.9562,7.6051,Too Few to Report,07/01/2018,06/30/2021
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-HF-HRRP,N/A,,0.9983,18.9732,19.0051,Too Few to Report,07/01/2018,06/30/2021
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-COPD-HRRP,N/A,,0.9921,16.2173,16.3460,Too Few to Report,07/01/2018,06/30/2021
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ALLIANCEHEALTH PONCA CITY,370006,OK,READM-30-PN-HRRP,136,,1.0245,15.6141,15.2400,23,07/01/2018,06/30/2021
ALLIANCEHEALTH PONCA CITY,370006,OK,READM-30-HIP-KNEE-HRRP,N/A,,1.2518,4.8358,3.8631,Too Few to Report,07/01/2018,06/30/2021
ALLIANCEHEALTH PONCA CITY,370006,OK,READM-30-HF-HRRP,103,,1.0390,20.8698,20.0872,24,07/01/2018,06/30/2021
ALLIANCEHEALTH PONCA CITY,370006,OK,READM-30-COPD-HRRP,86,,1.0015,19.6273,19.5975,17,07/01/2018,06/30/2021
ALLIANCEHEALTH PONCA CITY,370006,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ALLIANCEHEALTH PONCA CITY,370006,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORMAN REGIONAL,370008,OK,READM-30-PN-HRRP,341,,0.9989,16.4451,16.4625,56,07/01/2018,06/30/2021
NORMAN REGIONAL,370008,OK,READM-30-HIP-KNEE-HRRP,373,,1.0320,4.6799,4.5347,18,07/01/2018,06/30/2021
NORMAN REGIONAL,370008,OK,READM-30-HF-HRRP,268,,0.9692,19.7863,20.4143,51,07/01/2018,06/30/2021
NORMAN REGIONAL,370008,OK,READM-30-COPD-HRRP,461,,1.0123,19.9652,19.7225,93,07/01/2018,06/30/2021
NORMAN REGIONAL,370008,OK,READM-30-CABG-HRRP,N/A,,1.0018,11.8107,11.7898,Too Few to Report,07/01/2018,06/30/2021
NORMAN REGIONAL,370008,OK,READM-30-AMI-HRRP,221,,0.8677,11.8760,13.6867,19,07/01/2018,06/30/2021
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-PN-HRRP,630,,0.9751,16.4881,16.9098,102,07/01/2018,06/30/2021
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-HIP-KNEE-HRRP,264,,1.0533,4.5882,4.3559,13,07/01/2018,06/30/2021
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-HF-HRRP,173,,0.9548,20.8400,21.8268,33,07/01/2018,06/30/2021
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-COPD-HRRP,120,,0.9149,18.3038,20.0072,15,07/01/2018,06/30/2021
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ALLIANCEHEALTH DURANT,370014,OK,READM-30-PN-HRRP,271,,1.1912,19.8222,16.6402,67,07/01/2018,06/30/2021
ALLIANCEHEALTH DURANT,370014,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9157,4.7957,5.2372,Too Few to Report,07/01/2018,06/30/2021
ALLIANCEHEALTH DURANT,370014,OK,READM-30-HF-HRRP,203,,1.1381,23.3125,20.4830,56,07/01/2018,06/30/2021
ALLIANCEHEALTH DURANT,370014,OK,READM-30-COPD-HRRP,292,,1.0436,21.0930,20.2116,65,07/01/2018,06/30/2021
ALLIANCEHEALTH DURANT,370014,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ALLIANCEHEALTH DURANT,370014,OK,READM-30-AMI-HRRP,136,,1.1007,18.2237,16.5559,30,07/01/2018,06/30/2021
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-PN-HRRP,N/A,,0.9879,14.0105,14.1819,Too Few to Report,07/01/2018,06/30/2021
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9191,3.9879,4.3387,Too Few to Report,07/01/2018,06/30/2021
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-HF-HRRP,44,,1.0216,21.7749,21.3152,11,07/01/2018,06/30/2021
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-COPD-HRRP,N/A,,1.0042,18.8606,18.7821,Too Few to Report,07/01/2018,06/30/2021
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-PN-HRRP,165,,0.9415,14.1321,15.0106,19,07/01/2018,06/30/2021
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-HF-HRRP,N/A,,0.8866,16.7496,18.8930,Too Few to Report,07/01/2018,06/30/2021
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-COPD-HRRP,123,,0.9272,16.8921,18.2175,15,07/01/2018,06/30/2021
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-AMI-HRRP,N/A,,0.9729,13.2572,13.6263,Too Few to Report,07/01/2018,06/30/2021
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-PN-HRRP,240,,0.9480,15.7892,16.6554,34,07/01/2018,06/30/2021
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9718,3.8349,3.9460,Too Few to Report,07/01/2018,06/30/2021
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-HF-HRRP,261,,0.9940,21.2246,21.3524,55,07/01/2018,06/30/2021
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-COPD-HRRP,N/A,,0.9332,17.5887,18.8487,Too Few to Report,07/01/2018,06/30/2021
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-AMI-HRRP,N/A,,0.8855,12.4099,14.0144,Too Few to Report,07/01/2018,06/30/2021
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-PN-HRRP,121,,0.9232,14.6780,15.8993,12,07/01/2018,06/30/2021
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-HIP-KNEE-HRRP,N/A,,1.0363,4.5827,4.4219,Too Few to Report,07/01/2018,06/30/2021
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-HF-HRRP,84,,0.9870,20.0556,20.3189,16,07/01/2018,06/30/2021
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MERCY HOSPITAL ADA,370020,OK,READM-30-PN-HRRP,184,,0.9546,15.9916,16.7518,26,07/01/2018,06/30/2021
MERCY HOSPITAL ADA,370020,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9705,4.9392,5.0893,Too Few to Report,07/01/2018,06/30/2021
MERCY HOSPITAL ADA,370020,OK,READM-30-HF-HRRP,213,,0.9457,18.1136,19.1539,35,07/01/2018,06/30/2021
MERCY HOSPITAL ADA,370020,OK,READM-30-COPD-HRRP,86,,0.9969,18.8848,18.9435,16,07/01/2018,06/30/2021
MERCY HOSPITAL ADA,370020,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MERCY HOSPITAL ADA,370020,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-PN-HRRP,131,,1.0123,15.3576,15.1717,21,07/01/2018,06/30/2021
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9301,3.8992,4.1924,Too Few to Report,07/01/2018,06/30/2021
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-HF-HRRP,113,,0.9708,18.4865,19.0432,19,07/01/2018,06/30/2021
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-COPD-HRRP,N/A,,0.9720,16.6712,17.1522,Too Few to Report,07/01/2018,06/30/2021
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-PN-HRRP,251,,0.9508,15.0029,15.7792,34,07/01/2018,06/30/2021
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-HIP-KNEE-HRRP,N/A,,1.0163,4.5221,4.4494,Too Few to Report,07/01/2018,06/30/2021
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-HF-HRRP,202,,1.0144,21.3146,21.0113,44,07/01/2018,06/30/2021
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-COPD-HRRP,182,,1.0206,19.4616,19.0695,37,07/01/2018,06/30/2021
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-PN-HRRP,561,,0.9927,18.1028,18.2358,101,07/01/2018,06/30/2021
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-HIP-KNEE-HRRP,N/A,,1.0119,4.8711,4.8138,Too Few to Report,07/01/2018,06/30/2021
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-HF-HRRP,403,,1.0332,23.5174,22.7611,97,07/01/2018,06/30/2021
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-COPD-HRRP,217,,1.0233,20.3501,19.8872,46,07/01/2018,06/30/2021
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-AMI-HRRP,103,,0.9873,16.1985,16.4063,16,07/01/2018,06/30/2021
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-PN-HRRP,281,,0.9803,16.5365,16.8681,45,07/01/2018,06/30/2021
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-HIP-KNEE-HRRP,N/A,,0.9527,4.2906,4.5034,Too Few to Report,07/01/2018,06/30/2021
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-HF-HRRP,250,,0.9101,19.6552,21.5969,43,07/01/2018,06/30/2021
